,date,cases,deaths,new_cases,new_deaths,sentiment,polarity,subjectivity,vader,vader_pos,vader_neg,vader_neut,covid: (United States),online therapy: (United States),symptoms: (United States),vaccine: (United States),position_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,2020-01-21,1.0,0.0,0.0,0.0,0.10452231206948188,0.04254211471873624,0.5248538799746427,0.13122057502246182,0.03513819566269427,0.027527845683560922,-0.04859620369159942,<1,55.0,18.0,22.0,99.20077084793273,71.84950946040645,208562.7585844429,0.2755781359495445,-0.0006455333374862584,0.6144113349684653,5.605816398037842,-6.387918185003504,0.5518570427470217,0.11817888927820604,0.29079216002102315,0.010961159859845832,0.16354952697967765,0.5220905746320953,120.80230220742817,3.9910651716888577
1,2020-01-22,1.0,0.0,0.0,0.0,0.10261811616009629,0.04304823612035868,0.5246125826842047,0.1287682214866085,0.03208360864230992,0.02880778427000402,-0.04684302678320053,0,52.0,18.0,22.0,99.0121591106479,71.88257773145736,208469.41532047943,0.2741010943199583,0.003591800729694008,0.6143244571825603,5.626194198367205,-6.392134445023449,0.5527184297377106,0.11805831162063575,0.29067347660239706,0.011059482607260727,0.16327884314747265,0.5223710265763418,120.62794233107522,3.990967517804412
2,2020-01-23,1.0,0.0,0.0,0.0,0.10607434270172257,0.04267456623290909,0.5235760362833934,0.13181423390752492,0.03082048179484311,0.02128472519979632,-0.04071765539689497,<1,61.0,18.0,23.0,98.8449921888561,71.87137649713591,208637.76774865476,0.2752994271827808,0.0021021132804282666,0.6158639298732859,5.599548689463635,-6.370921714980038,0.5505988543655616,0.1178654226696754,0.28986238618295435,0.010912993945495574,0.16330494705780246,0.5232720013886478,120.76599010588438,3.9904530463461203
3,2020-01-24,2.0,0.0,1.0,0.0,0.13164721141374838,0.047077014232010474,0.5241870667605679,0.15511566147859923,0.04493064614270475,0.0011847508025763411,-0.03940839958188152,<1,53.0,21.0,23.0,99.02607585703866,71.60959153902262,208192.74471188913,0.27589350838803794,-0.00785819600683695,0.6149010393873086,5.644055433989789,-6.430472465353757,0.5521517140773158,0.1173815280816922,0.2895801507658643,0.011104780598103573,0.164034117432531,0.5221580233406272,120.62443818380744,3.9916119620714805
4,2020-01-25,3.0,0.0,1.0,0.0,0.1518624641833811,0.04815954152535371,0.5217533812790027,0.17372601082457817,0.020300252783687786,-0.03207222991915958,0.003997776594571577,0,38.0,20.0,17.0,98.992077161557,71.68325869789872,208337.6202204616,0.27178780571822253,0.012088053808451741,0.618719962108164,5.616086806751636,-6.3792769548742685,0.552876334826042,0.11706245263520496,0.2866577481570789,0.011262197313124356,0.1658271098863245,0.529162039269721,120.86498622115053,3.990527040992077
5,2020-01-26,5.0,0.0,2.0,0.0,0.1473951715374841,0.04656352848723339,0.5230220601780831,0.16827229987293518,0.023585511555098793,-0.019551470237474687,-0.007207827256373946,<1,32.0,21.0,17.0,99.03704968413864,71.79972682260544,208304.6890899778,0.27147003585453305,-0.00809139279303942,0.6128688577770189,5.604063513744237,-6.465150589038758,0.5564282055659894,0.11600863923510328,0.29400153276421376,0.010989297850435377,0.16496631381253202,0.5257165443059587,120.66768960218543,3.988219224859143
6,2020-01-27,5.0,0.0,0.0,0.0,0.14434889434889434,0.048349998455512515,0.5252903716108018,0.16657929975429975,0.04813796953923977,-0.00970046941636149,-0.034838932936581815,0,56.0,26.0,24.0,98.6387741046832,72.09159779614325,207775.14841597795,0.2698002754820937,-0.017201116352946487,0.6064842975206611,5.5945247933884295,-6.5306134641873275,0.5604338842975206,0.11817957988980718,0.30041644204545453,0.011611633951446283,0.16481150137741046,0.5181894111570248,120.6668450413223,3.990185950413223
7,2020-01-28,5.0,0.0,0.0,0.0,0.15424399148159415,0.04971974600691201,0.525194311738211,0.1748578643139641,0.04521611081952836,-0.02313428251311254,-0.023371590484225237,0,50.0,27.0,27.0,98.87050359712231,72.16546762589928,207841.37906817402,0.2723535457348407,-0.018194582032784293,0.6068372730387118,5.600548132922234,-6.522348749571772,0.5596094552929085,0.11803886605001714,0.29998559760191845,0.01192295332305584,0.16447290167865708,0.5169216512504282,120.7636582733813,3.990921548475505
8,2020-01-29,5.0,0.0,0.0,0.0,0.15947352310988674,0.05048445547770201,0.5234991174944265,0.17978108356290173,0.04417910232558384,-0.029595388098668744,-0.018191089056241297,<1,43.0,26.0,27.0,98.93087557603687,72.1573647380099,207696.55384877964,0.2747909199522103,-0.01491596418169318,0.6081901177675372,5.603515958354668,-6.500434715821813,0.559310462536269,0.11754538317118962,0.298216358218126,0.011514368627752175,0.164757979177334,0.518373903396484,120.61790783410139,3.990442054958184
9,2020-01-30,6.0,0.0,1.0,0.0,0.16378244746600742,0.050840038488240966,0.5240855665478581,0.1828887515451174,0.04564659286088625,-0.036163813883063174,-0.015046597795647033,0,47.0,27.0,25.0,98.7938566552901,72.11313993174062,207856.78054607508,0.2738907849829352,-0.01408818160258261,0.6092609044368601,5.596587030716724,-6.488418600682595,0.5598976109215017,0.11736923208191126,0.29617996276450514,0.011415393131399318,0.16497959044368601,0.5197944368600682,120.5840686006826,3.990102389078498
